longitude,latitude
52.00013889146563,18.999579337442377
52.000142917240765,19.000444196127265
52.00005166509248,19.000173560076224
52.000038915840385,18.99956021641703
52.00003690308052,19.000391245595544
52.00006172983215,18.999901453177063]
52.0000758203724,18.99993969522775
52.00006508463014,18.999826439923776
52.00006508463014,18.999826439923776
52.00002616805097,18.99989409893655
52.00002616805097,18.99989409893655
52.0000154322511,18.99977348939206
51.99994229522836,19.00042360425382
51.99993826929692,18.999557274720836
51.99991814071735,18.999844090101025
51.99991478587575,18.99988086130362
51.9999523605884,19.000111784455868
51.99984701643529,18.999555803872738
51.99984164934475,18.99983820670861
51.99984500342539,19.000464788000734
51.99984835907435,19.000188268557253
